feature,importance
Brand_Apple,0.6078553
Brand_Google,0.21691577
Brand_Xiaomi,0.022040805
Brand_Samsung,0.020439314
Brand_Oppo,0.020351391
Brand_Realme,0.016229134
PhoneAge,0.014858596
Brand_Motorola,0.014404039
Condition_New,0.01440309
Brand_Vivo,0.014287059
Brand_OnePlus,0.010451419
Condition_Used,0.008643315
Brand_Nothing,0.00649111
RAM,0.006322621
Storage,0.0031211157
FiveG_No,0.00087549037
FiveG_Yes,0.0007572547
ScreenSize,0.0007297806
Camera,0.00047187207
Battery,0.00035147747
