Brand,Model,RAM,Storage,Battery,Camera,ScreenSize,FiveG,PhoneAge,Condition,Price
Oppo,Oppo-199,6,512,4294,108,6.3,Yes,0.8,New,32447.06
Google,Google-121,4,512,3769,108,6.8,Yes,0.9,New,69753.0
Motorola,Motorola-940,2,128,4082,16,5.8,No,2.3,Used,7463.07
Oppo,Oppo-527,3,256,3600,12,5.8,Yes,1.2,New,18570.32
Google,Google-921,16,128,5253,8,5.6,No,1.6,New,62975.44
Apple,Apple-395,3,256,3161,32,6.3,No,0.4,New,100607.37
Realme,Realme-912,8,64,3878,48,6.3,No,3.0,New,10084.4
Samsung,Samsung-388,2,32,4367,8,5.4,Yes,4.1,Used,10742.6
Realme,Realme-904,3,64,5088,64,6.9,Yes,0.5,New,21126.65
Xiaomi,Xiaomi-497,6,128,4570,8,5.8,No,4.2,Used,4643.3
Oppo,Oppo-506,4,32,3206,16,5.1,No,1.6,New,10507.75
Oppo,Oppo-673,8,128,3540,32,7.1,Yes,3.5,Used,9488.85
Motorola,Motorola-324,8,256,4051,32,7.0,Yes,4.0,Used,9242.81
Samsung,Samsung-324,2,128,5680,32,5.8,Yes,0.8,New,33644.63
Xiaomi,Xiaomi-367,3,256,3663,50,5.5,Yes,2.0,New,13510.62
Oppo,Oppo-835,3,128,6184,48,5.6,Yes,3.0,New,9926.95
Samsung,Samsung-283,2,128,4661,12,6.2,Yes,2.8,Used,15051.77
Samsung,Samsung-425,16,512,5931,12,6.4,Yes,0.5,Used,43708.4
Xiaomi,Xiaomi-739,6,256,6002,32,5.0,Yes,1.1,Used,13724.84
Oppo,Oppo-445,3,32,4802,200,5.2,No,4.4,New,5569.18
Motorola,Motorola-332,6,256,3880,12,7.2,No,2.8,Used,9935.05
Xiaomi,Xiaomi-203,4,128,3403,108,5.9,No,4.3,Used,4980.65
OnePlus,OnePlus-819,12,128,6183,200,6.5,Yes,0.8,New,45226.85
Motorola,Motorola-739,6,32,4603,8,6.1,Yes,1.8,Used,10837.91
Samsung,Samsung-126,6,128,3469,64,5.6,Yes,4.9,New,17518.56
Apple,Apple-116,8,32,5331,8,5.4,No,1.4,New,93781.83
Realme,Realme-290,12,128,4768,48,7.0,Yes,4.8,Used,6989.17
Realme,Realme-891,16,32,6327,16,5.4,Yes,4.7,Used,6453.44
Apple,Apple-781,16,64,3154,12,5.7,No,0.7,Used,83986.46
Oppo,Oppo-875,3,128,4841,200,6.3,Yes,0.0,Used,18820.82
Xiaomi,Xiaomi-249,16,256,6425,12,6.0,No,1.6,New,27627.04
Nothing,Nothing-719,3,32,4715,50,5.7,Yes,1.6,Used,14671.92
Realme,Realme-205,16,256,3773,32,5.9,No,0.7,New,33651.18
Xiaomi,Xiaomi-740,2,128,4081,64,5.6,Yes,0.4,New,19707.12
Nothing,Nothing-546,3,32,5849,50,6.6,No,1.4,Used,16754.54
Realme,Realme-168,12,512,5294,16,5.5,Yes,3.8,New,12282.49
Samsung,Samsung-936,12,256,3452,48,6.0,Yes,2.2,New,36850.62
OnePlus,OnePlus-858,3,256,6294,16,6.1,No,3.3,New,16565.5
Apple,Apple-712,2,256,3895,32,6.3,Yes,3.2,New,76238.9
Xiaomi,Xiaomi-701,2,32,4191,12,5.1,No,1.7,Used,5307.59
Apple,Apple-775,4,32,6267,48,5.8,No,0.2,New,113884.3
Nothing,Nothing-289,8,32,5967,16,7.2,Yes,1.9,Used,18373.16
Realme,Realme-441,6,32,4548,64,6.7,Yes,4.5,New,7318.72
Xiaomi,Xiaomi-605,2,256,3395,200,6.9,Yes,4.8,Used,5627.53
Realme,Realme-792,8,128,3395,200,6.2,Yes,4.7,Used,5357.81
Nothing,Nothing-591,3,64,4156,16,7.0,Yes,0.6,New,31394.36
Samsung,Samsung-595,8,512,4191,200,6.8,No,0.4,New,57890.1
Samsung,Samsung-281,12,256,4680,64,7.2,No,1.9,New,41325.85
Oppo,Oppo-575,4,64,4881,16,5.2,Yes,0.1,New,18655.99
Google,Google-216,8,32,4958,8,6.5,Yes,2.0,New,48526.17
Vivo,Vivo-540,3,256,3684,48,5.1,No,4.6,New,6306.84
Apple,Apple-835,16,32,6376,8,6.4,Yes,4.5,New,69279.99
Google,Google-831,12,256,6479,48,5.6,Yes,2.3,New,57520.82
Realme,Realme-657,2,256,4946,50,5.1,Yes,2.1,Used,8336.72
Xiaomi,Xiaomi-218,8,64,5930,48,6.3,Yes,4.7,Used,5465.34
Google,Google-709,2,32,5193,8,5.8,No,2.0,Used,30965.27
Motorola,Motorola-664,4,32,3404,64,6.9,No,5.0,Used,4490.38
Realme,Realme-548,3,64,3082,8,5.5,Yes,1.3,New,10608.64
Samsung,Samsung-153,3,256,5142,108,5.0,Yes,2.4,Used,18356.06
Realme,Realme-534,12,128,4848,8,5.3,Yes,3.8,Used,7341.12
Oppo,Oppo-348,12,256,5785,50,6.3,No,2.8,New,18025.47
Vivo,Vivo-884,2,256,3541,64,6.2,No,4.0,New,8578.81
OnePlus,OnePlus-282,8,64,5100,12,5.7,No,1.2,New,26575.27
Vivo,Vivo-502,6,256,4719,200,7.0,Yes,3.3,New,13923.51
Realme,Realme-177,8,64,3603,50,5.2,Yes,2.3,New,12276.19
Nothing,Nothing-436,8,128,6144,200,6.1,No,2.6,New,21445.91
Nothing,Nothing-127,6,32,5055,8,6.3,No,2.7,Used,11305.07
Oppo,Oppo-373,12,64,3364,108,5.3,No,4.2,Used,6185.17
Nothing,Nothing-225,12,128,4906,200,6.6,Yes,2.8,Used,16813.41
Motorola,Motorola-133,2,512,6283,200,6.5,No,2.5,New,17299.42
Google,Google-840,2,256,5642,200,5.7,No,3.0,New,41364.89
Motorola,Motorola-706,2,512,5709,48,5.3,Yes,0.8,New,23291.19
Google,Google-831,16,32,3758,16,6.2,Yes,4.9,New,34034.38
OnePlus,OnePlus-272,16,32,4629,108,6.6,No,3.6,New,22863.37
Realme,Realme-419,12,64,4141,32,5.9,Yes,1.2,New,22098.08
Vivo,Vivo-112,8,128,5892,16,5.1,Yes,0.7,New,25047.32
Google,Google-194,3,256,3320,48,5.0,Yes,2.4,Used,34271.29
Samsung,Samsung-395,8,256,3235,12,5.3,No,4.7,New,15949.4
Vivo,Vivo-509,6,512,3872,48,5.4,Yes,0.8,Used,20355.69
OnePlus,OnePlus-964,2,512,4065,200,6.5,Yes,3.6,Used,15586.24
Oppo,Oppo-297,16,32,5712,8,7.0,Yes,2.7,Used,14172.74
Vivo,Vivo-649,4,128,5601,32,6.7,No,2.7,Used,9010.39
Motorola,Motorola-217,2,512,6044,64,5.3,Yes,3.6,New,12735.28
Vivo,Vivo-784,8,256,4900,108,6.3,Yes,2.7,New,17134.6
Apple,Apple-649,4,128,5802,32,6.2,Yes,1.7,New,98971.52
Vivo,Vivo-455,16,64,5349,108,6.1,No,0.1,Used,29062.02
OnePlus,OnePlus-825,8,512,4863,8,6.3,No,2.1,Used,23118.25
Oppo,Oppo-760,2,512,6476,32,5.3,No,4.3,New,8521.09
Motorola,Motorola-905,8,32,3201,32,6.7,No,0.6,New,23151.54
Apple,Apple-124,16,64,3474,12,7.0,Yes,0.2,Used,92096.46
Oppo,Oppo-948,6,512,4879,8,5.8,Yes,3.2,New,14487.57
OnePlus,OnePlus-314,2,32,3147,50,6.9,Yes,0.9,New,28151.13
Xiaomi,Xiaomi-274,4,128,6389,8,5.1,Yes,2.8,New,9989.36
Apple,Apple-742,3,256,4136,12,6.1,No,0.5,New,98290.28
Nothing,Nothing-932,3,128,4901,12,5.9,Yes,0.8,Used,20292.08
Motorola,Motorola-708,16,128,5007,64,6.5,Yes,0.5,Used,25944.5
Google,Google-568,3,128,5143,108,6.6,No,4.2,New,33726.15
Oppo,Oppo-613,3,64,3774,8,5.5,Yes,0.9,Used,10564.88
Samsung,Samsung-325,16,512,4939,12,5.8,Yes,4.2,New,30158.64
Realme,Realme-835,6,128,4523,50,6.7,Yes,2.8,Used,8992.51
Samsung,Samsung-103,3,128,6280,200,6.2,No,1.3,New,33491.88
Nothing,Nothing-133,3,512,6180,12,5.6,Yes,4.6,New,13320.87
Samsung,Samsung-709,8,32,6045,64,5.2,Yes,1.3,New,34932.97
Motorola,Motorola-462,8,64,4708,8,5.9,Yes,2.6,New,13093.79
Samsung,Samsung-906,4,512,6363,16,5.5,Yes,1.4,New,38445.5
Google,Google-838,4,64,3054,108,7.1,No,1.1,New,56168.8
OnePlus,OnePlus-160,4,32,6005,12,6.4,Yes,1.7,New,24143.28
Google,Google-374,3,32,4062,16,6.8,No,3.5,New,34953.32
Realme,Realme-875,6,128,5864,8,7.1,Yes,0.9,New,22795.16
Realme,Realme-637,2,512,5421,50,7.2,No,3.2,Used,8126.51
Nothing,Nothing-939,16,32,4817,48,6.0,Yes,0.6,Used,29240.22
Apple,Apple-719,4,512,5641,32,6.9,Yes,4.1,New,75290.53
Apple,Apple-496,4,512,4194,108,6.0,Yes,2.9,Used,62185.72
Apple,Apple-515,2,512,4449,12,5.1,No,0.1,Used,81953.28
Xiaomi,Xiaomi-365,4,256,3028,8,5.9,Yes,3.1,Used,8067.97
Motorola,Motorola-392,16,256,3388,8,5.5,Yes,1.8,New,24637.59
Motorola,Motorola-479,2,512,4998,200,5.2,Yes,0.6,Used,19796.54
Vivo,Vivo-984,16,128,4085,12,5.4,No,1.2,Used,18733.15
Xiaomi,Xiaomi-153,8,64,6178,12,5.8,Yes,4.8,Used,5410.64
Oppo,Oppo-315,2,32,6170,32,7.2,Yes,2.0,Used,10671.76
Xiaomi,Xiaomi-640,4,512,6191,200,6.3,Yes,0.5,Used,21664.17
Motorola,Motorola-137,4,32,5785,200,5.7,No,3.7,New,7796.78
Google,Google-139,4,512,4199,12,5.2,Yes,3.4,New,43332.87
Xiaomi,Xiaomi-267,3,128,4591,108,6.5,Yes,1.3,Used,13581.2
Samsung,Samsung-799,4,128,5863,200,5.7,Yes,4.7,New,17817.76
Oppo,Oppo-181,8,128,3556,200,5.1,No,0.6,New,23741.97
OnePlus,OnePlus-965,3,512,5012,64,5.4,Yes,1.6,Used,20812.79
Google,Google-434,8,128,4007,50,5.6,Yes,2.2,Used,36430.09
Realme,Realme-804,8,256,5963,32,5.1,Yes,3.5,New,10911.26
Vivo,Vivo-559,3,128,5257,12,7.2,No,2.2,Used,9633.09
Oppo,Oppo-837,8,128,6104,50,5.8,No,1.3,New,18972.2
OnePlus,OnePlus-183,2,128,5444,200,5.4,No,3.5,New,14438.34
Vivo,Vivo-552,4,128,5896,108,6.0,No,2.1,Used,9781.51
Xiaomi,Xiaomi-370,4,32,3569,50,5.5,Yes,0.2,Used,13012.37
Google,Google-792,6,32,4680,48,5.3,Yes,2.7,New,44526.91
Google,Google-839,6,64,5946,32,6.8,Yes,0.6,New,70665.52
Motorola,Motorola-171,12,32,6003,50,6.3,Yes,4.0,New,12355.19
Realme,Realme-313,3,64,4389,50,5.6,No,4.3,Used,4000.0
Xiaomi,Xiaomi-341,2,32,5635,200,6.3,Yes,2.4,New,11399.11
Samsung,Samsung-970,3,32,5848,200,5.8,Yes,0.4,New,34417.03
Nothing,Nothing-108,12,64,3142,12,5.1,No,4.8,New,11825.25
Vivo,Vivo-558,2,32,6441,108,7.1,No,3.9,Used,5701.29
OnePlus,OnePlus-623,6,64,3021,16,5.1,Yes,2.2,Used,15390.52
Motorola,Motorola-406,8,128,5169,16,7.1,Yes,0.9,Used,19354.18
Apple,Apple-192,12,64,3661,48,7.2,No,3.3,New,83158.21
Vivo,Vivo-463,16,32,3902,8,6.9,No,3.7,New,12821.23
OnePlus,OnePlus-517,6,64,4712,16,6.3,Yes,3.6,New,18440.93
OnePlus,OnePlus-836,12,64,3754,16,5.6,Yes,1.9,New,30189.58
Xiaomi,Xiaomi-652,3,256,5799,64,6.4,Yes,2.6,New,12958.24
Vivo,Vivo-127,6,512,4646,108,6.3,No,0.5,Used,21523.23
Apple,Apple-806,4,512,3260,8,6.7,Yes,4.8,New,62201.08
Vivo,Vivo-383,12,64,4628,200,5.9,Yes,3.1,Used,10357.63
Motorola,Motorola-719,4,512,5734,48,6.2,No,3.5,New,13810.48
OnePlus,OnePlus-936,3,64,3968,48,7.1,Yes,0.6,New,35970.45
Samsung,Samsung-284,2,128,4229,32,7.2,No,0.0,Used,29478.85
Oppo,Oppo-845,16,128,6249,64,6.5,Yes,0.1,New,44847.64
Oppo,Oppo-410,3,512,3128,64,6.5,Yes,4.3,New,10728.49
Oppo,Oppo-444,3,128,4993,12,5.5,No,4.3,Used,4000.0
OnePlus,OnePlus-674,2,32,6218,48,6.5,Yes,1.7,New,24895.21
Motorola,Motorola-743,2,32,4112,200,5.2,Yes,0.5,Used,12607.72
Vivo,Vivo-824,4,64,5444,200,5.7,No,1.9,New,13606.89
